International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1980&end=2014&vs=INTL.44-1-AFRC-QBTU.A~INTL.44-1-ASOC-QBTU.A~INTL.44-1-CSAM-QBTU.A~INTL.44-1-EURA-QBTU.A~INTL.44-1-EURO-QBTU.A~INTL.44-1-MIDE-QBTU.A~INTL.44-1-NOAM-QBTU.A~INTL.44-1-WORL-QBTU.A&c=4100000002000060000000000000g000200000000000000001&pa=rjugfvg000000000000000000000000000vg018001&f=A&ug=g&ct=1&tl_type=a&tl_id=1-A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Apr 20 2016 08:13:38 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Residual Fuel Oil,1000 bbl/d,1164,1186,1185,1139,1095,1123,1146,1143,1144,1118,1194,1286,1192,1105,1149,1185,1214,1092,1170,1159,1051,1061,1018,NA,
,Liquefied Petroleum Gases,1000 bbl/d,207,202,216,218,229,227,221,224,239,331,259,346,361,358,378,350,318,255,233,281,268,268,271,NA,
,Other Products,1000 bbl/d,904,868,809,854,840,926,925,1004,992,1023,837,1133,1189,1167,1162,1138,1205,1401,1268,1342,1680,1617,1542,NA,
,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,Bcf,3422,3496,3540,3599,3781,4074,4597,5024,5223,5344,5678,5910,6073,6223,6758,7046,7159,7992,8554,8742,8860,9018,9196,9349,
,Vented and Flared Natural Gas,Bcf,428,384,415,392,407,409,563,525,433,404,406,375,394,278,283,473,311,455,527,551,438,471,570,657,
,Reinjected Natural Gas,Bcf,701,713,728,662,681,797,955,1186,1242,1339,1344,1386,1546,1403,1454,1378,1314,1739,2053,2336,2155,2065,1927,1802,
,Marketed Natural Gas,Bcf,2288,2399,2420,2545,2693,2868,3079,3313,3548,3601,3927,4149,4134,4542,5022,5317,5528,5798,5974,5855,6267,6481,6700,6889,
,Dry Natural Gas,Bcf,2014,2152,2137,2301,2440,2581,2761,2922,3120,3148,3430,3655,3670,4069,4541,4673,5056,4997,5199,4971,5333,5651,5801,5945,805
,Eurasia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Energy,Quad Btu,72.111,66.438,61.418,57.662,53.11,51.906,50.408,48.802,49.037,51.49,54.035,55.885,57.587,61.21,64.495,66.157,68.047,69.482,70.328,66.558,70.839,73.089,74.323,72.674,
,Biofuels,1000 bbl/d,,,,,,,,,,,,,,,0.3,0.6,0.8,1.3,3.2,5.1,4.4,3.6,3.7,,
,Fuel Ethanol,1000 bbl/d,,,,,,,,,,,,,,,0.2,0.3,0.5,0.6,0.7,1.3,1.2,0.4,0.3,,
,Biodiesel,1000 bbl/d,,,,,,,,,,,,,,,0.1,0.3,0.3,0.7,2.5,3.8,3.2,3.2,3.4,,
,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,881836,701655,633621,563307,497870,452106,417329,401386,388468,398173,422400,432118,414875,450522,450722,478352,492261,495826,534024,486222,545422,565295,605814,599830,
,Anthracite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,32969,
,Metallurgical Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,120171,
,Bituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,339696,
,Subbituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,36,
,Lignite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,106957,
