,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Honduras,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,(s),(s),(s),(s),(s),(s),(s),(s),(s)
Hong Kong,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1
Hungary,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,47,63,60,63,68,54,50,49,49,43,46,48,42,39,33,38,35,34,28,28,28
Iceland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,578,651,770,751,780,761,765,773,785,816,818,847,834,866,873,877,882,970,1007,1017,1016
Indonesia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,1588,1589,1582,1639,1608,1616,1569,1530,1434,1340,1245,1183,1150,1102,1042,1065,1053,1042,1025,985,926
Iran,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,3591,3672,3709,3748,3728,3703,3621,3765,3800,3524,3833,4104,4239,4149,4039,4178,4178,4243,4215,3520,3194
Iraq,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,523,567,580,593,1172,2162,2520,2582,2409,2040,1318,2021,1889,2009,2097,2385,2399,2398,2624,2979,3051
Ireland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.2,-0.4,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.2,-0.1,(s),-0.2,(s),-0.2,-0.6,-0.4,-0.3,1.1,0.7,1,0.9
Israel,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,2.1,2.9,3.1,3.5,2.1,3.4,3.1,3.7,3.9,2.7,3.2,6,3.7,4,4.8,5.6,6.2,6.1,5.8,5.7,5.8
Italy,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,113,118,126,136,149,144,122,135,122,130,143,153,165,165,169,164,146,156,153,151,161
Jamaica,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.2,-0.3,-0.5,-0.4,-0.4,-0.4,-0.2,-0.6,-0.4,1.3,2.1,1.5,1.8,4.6,4.3,5.7,6,1.1,2.2,2.2,2.2
Japan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,85,82,91,100,101,104,109,112,121,120,117,123,128,129,132,134,137,143,137,128,138
Jordan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),0.2,0.2,0.2,0.2,-0.2,-0.2,-0.5,-0.3,-0.2,-0.1,-0.4,-0.3,-0.1,(s),0.7,0.6,0.2,0.5,0.5,0.5
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,407,416,415,459,522,527,605,726,836,968,1062,1246,1337,1388,1446,1431,1542,1609,1637,1606,1658
Kenya,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.2,(s),(s),(s),(s),(s),(s),(s),(s),-0.2,(s),-0.3,-0.2,-0.3,-0.1,-0.2,-0.2,(s),-0.1,(s),(s)
Kiribati,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
"Korea, North",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,0.9,0.7,0.6,0.3,0.3,0.8,0.6,0.7,0.1,0.1,0.1,0.1,0.1,(s),0.1,0.1,(s),0.1,0.1,0.1,0.1
"Korea, South",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-23,-24,-22,-15,-0.7,11,5.5,14,15,22,15,17,17,21,30,42,55,58,60,75,79
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
